My Report

token,amount,distributed / converted ,remaining
"ADI","22.01573891459825875071","","22.01573891459825875071"
"ARK","0.00505354453289123126","","0.00505354453289123126"
"BCH","0.00002369439970711464","","0.00002369439970711464"
"BLZ","0.01404609092503331348","","0.01404609092503331348"
"BNT","0.00200527803464334636","","0.00200527803464334636"
"BPL","0.01063360613266506770","","0.01063360613266506770"
"BTC","0.00023185182062772264","","0.00023185182062772264"
"BWT","0.10448122459095933991","","0.10448122459095933991"
"CAN","0.14249838809391543821","","0.14249838809391543821"
"COSS","18.54616711666065384961","17.539294997619200000","1.00687211904145384961"
"CRED-VERIFY","1.38303645187990098088","","1.38303645187990098088"
"CREDITS","0.00049265104432045173","","0.00049265104432045173"
"CVC","0.01440663367990342266","","0.01440663367990342266"
"DASH","0.00002112689490073457","","0.00002112689490073457"
"DAT","0.86644684089236562314","","0.86644684089236562314"
"ENJ","0.08269301396819225588","","0.08269301396819225588"
"EOS","0.00327698426767231449","","0.00327698426767231449"
"ETH","0.01839140600591041230","0.016827908719483400","0.00156349728642701230"
"FDX","7.98600782490142120842","","7.98600782490142120842"
"FRV","19.14931767024808521297","","19.14931767024808521297"
"FXT","4.84452403777470998085","","4.84452403777470998085"
"FYN","0.00488402604063226991","","0.00488402604063226991"
"GAT","9.36374532914268907976","","9.36374532914268907976"
"H2O","0.00359243520770504610","","0.00359243520770504610"
"HGT","38.74531744519990896707","","38.74531744519990896707"
"ICX","0.00670921200127517858","","0.00670921200127517858"
"IND","0.04000961192514385097","","0.04000961192514385097"
"ITT","0.26706309622433824924","","0.26706309622433824924"
"JET","0.31052823487699843734","","0.31052823487699843734"
"KIN","987.94227063756019645859","","987.94227063756019645859"
"KNC","0.00494381906440681932","","0.00494381906440681932"
"LA","0.01730515978078712824","","0.01730515978078712824"
"LALA","1.40208650209032840975","","1.40208650209032840975"
"LAN","0.96142279247450923599","","0.96142279247450923599"
"LINK","0.02631183073395411814","","0.02631183073395411814"
"LSK","0.00111241747924458616","","0.00111241747924458616"
"LTC","0.00112014390554679710","","0.00112014390554679710"
"MRK","8.57985268613047088720","","8.57985268613047088720"
"NOX","0.31716780287019921782","","0.31716780287019921782"
"OMG","0.00101982486123799316","","0.00101982486123799316"
"PAY","0.00371062994263573395","","0.00371062994263573395"
"PGT","0.13218821941648536003","","0.13218821941648536003"
"PIX","0.06106681125333467140","","0.06106681125333467140"
"POE","0.08666890486845555330","","0.08666890486845555330"
"PRIX","0.01651356070433520625","","0.01651356070433520625"
"REQ","0.02606742855143873550","","0.02606742855143873550"
"SENC","0.02385715272037861764","","0.02385715272037861764"
"SMDX","0.37928681998732087496","","0.37928681998732087496"
"SNM","0.03573645471984887958","","0.03573645471984887958"
"STX","0.00936688714253122910","","0.00936688714253122910"
"SUB","0.02840284429329367849","","0.02840284429329367849"
"TEU","0.00206211954200417746","","0.00206211954200417746"
"TIG","0.91758517727513718234","","0.91758517727513718234"
"TRAK","2.89204693439979971659","","2.89204693439979971659"
"UFR","0.01348499631495669861","","0.01348499631495669861"
"USD","0.01876424206812110914","","0.01876424206812110914"
"VEN","0.00627071696676588908","","0.00627071696676588908"
"VZT","0.76522049697047853804","","0.76522049697047853804"
"WAVES","0.00129932458473806805","","0.00129932458473806805"
"WISH","0.10926526660857387372","","0.10926526660857387372"
"WTC","0.00073373715522024790","","0.00073373715522024790"
"XDCE","148.59338799391589781046","","148.59338799391589781046"
"XEM","0.04329825024545650927","","0.04329825024545650927"
"XNK","0.00025351454067752163","","0.00025351454067752163"
"ZEN","0.00070198700573908487","","0.00070198700573908487"
