My Report

token,amount,distributed / converted ,remaining
"ADI","22.01573891459825875071","","22.01573891459825875071"
"ARK","0.00539606779463612413","","0.00539606779463612413"
"BCH","0.00002551983839851097","","0.00002551983839851097"
"BLZ","0.01641174232881947349","","0.01641174232881947349"
"BNT","0.00217621559542548175","","0.00217621559542548175"
"BPL","0.01074412093531120721","","0.01074412093531120721"
"BTC","0.00026153089141180146","","0.00026153089141180146"
"BWT","0.20321722889623592114","","0.20321722889623592114"
"CAN","0.14583498446231902091","","0.14583498446231902091"
"COSS","19.06909539368946340305","17.539294997619200000","1.52980039607026340305"
"CRED-VERIFY","2.70401030725412648346","","2.70401030725412648346"
"CREDITS","0.00067038475621816658","","0.00067038475621816658"
"CVC","0.01566474672301168010","","0.01566474672301168010"
"DASH","0.00002328982319137190","","0.00002328982319137190"
"DAT","0.88887035643967994667","","0.88887035643967994667"
"ENJ","0.09067709502754154795","","0.09067709502754154795"
"EOS","0.00345937601806661365","","0.00345937601806661365"
"ETH","0.01910513155741822423","0.016827908719483400","0.00227722283793482423"
"FDX","8.76013896164110642089","","8.76013896164110642089"
"FRV","19.14931767024808521297","","19.14931767024808521297"
"FXT","9.21814328589573107231","","9.21814328589573107231"
"FYN","0.00533870557936043742","","0.00533870557936043742"
"GAT","9.38682451010885439074","","9.38682451010885439074"
"H2O","0.00361011738423124873","","0.00361011738423124873"
"HGT","38.84443232845504330103","","38.84443232845504330103"
"ICX","0.00715970462895461263","","0.00715970462895461263"
"IND","0.04173930145795831782","","0.04173930145795831782"
"ITT","0.28341425954274983309","","0.28341425954274983309"
"JET","0.31130565220655260552","","0.31130565220655260552"
"KIN","1018.14484271860762826658","","1018.14484271860762826658"
"KNC","0.00545250502128653263","","0.00545250502128653263"
"LA","0.02217978414099886359","","0.02217978414099886359"
"LALA","1.41252416105914002778","","1.41252416105914002778"
"LAN","3.64385527778092855744","","3.64385527778092855744"
"LINK","0.02677094194900701908","","0.02677094194900701908"
"LSK","0.00121317716504289242","","0.00121317716504289242"
"LTC","0.00113504476512684311","","0.00113504476512684311"
"MRK","10.52364115245566392457","","10.52364115245566392457"
"NOX","0.31927992217692155935","","0.31927992217692155935"
"OMG","0.00109935370974793523","","0.00109935370974793523"
"PAY","0.00416526282416252785","","0.00416526282416252785"
"PGT","1.62399540067397658283","","1.62399540067397658283"
"PIX","0.06555130249586769126","","0.06555130249586769126"
"POE","0.08929607704530659055","","0.08929607704530659055"
"PRIX","0.02163309416278679598","","0.02163309416278679598"
"REQ","0.02971384809452438141","","0.02971384809452438141"
"SENC","0.03387857463650719815","","0.03387857463650719815"
"SMDX","0.38827351366991184595","","0.38827351366991184595"
"SNM","0.04021755459872579347","","0.04021755459872579347"
"STX","0.01019063983159426013","","0.01019063983159426013"
"SUB","0.03037077623657182261","","0.03037077623657182261"
"TEU","0.00211013860897117385","","0.00211013860897117385"
"TIG","0.96051114852088701424","","0.96051114852088701424"
"TRAK","2.94574633779009162795","","2.94574633779009162795"
"UFR","0.04150811886971866719","","0.04150811886971866719"
"USD","0.02431919282766755937","","0.02431919282766755937"
"VEN","0.00649036100529413988","","0.00649036100529413988"
"VZT","0.78232261883802647469","","0.78232261883802647469"
"WAVES","0.00140989622648808727","","0.00140989622648808727"
"WISH","0.11050039189918832429","","0.11050039189918832429"
"WTC","0.00081638473601060572","","0.00081638473601060572"
"XDCE","159.69661065181187438468","","159.69661065181187438468"
"XEM","0.04462993441869227265","","0.04462993441869227265"
"XNK","0.03190388568992742114","","0.03190388568992742114"
"ZEN","0.00081405654406853860","","0.00081405654406853860"
